id,game_id,game_date,season,home_team_id,away_team_id,home_team_score,away_team_score,home_rest_days,away_rest_days
119,401480757,2023-03-09 20:05:00,2023,CHC,CIN,8,6,1.0,-1.0
120,401480758,2023-03-09 20:05:00,2023,OAK,LAD,1,0,0.0,-1.0
121,401480759,2023-03-09 20:05:00,2023,SF,MIL,5,2,1.0,1.0
122,401480760,2023-03-09 20:05:00,2023,CLE,SD,4,6,1.0,-1.0
123,401480762,2023-03-10 18:05:00,2023,TB,ATL,2,3,0.0,-1.0
124,401480767,2023-03-10 18:05:00,2023,BOS,TOR,0,2,0.0,-1.0
125,401480776,2023-03-10 18:05:00,2023,DET,NYY,3,4,0.0,0.0
126,401480777,2023-03-10 18:05:00,2023,PHI,PIT,10,4,0.0,0.0
127,401480763,2023-03-10 18:10:00,2023,NYM,HOU,7,2,1.0,1.0
128,401480768,2023-03-10 20:05:00,2023,LAD,LAA,6,5,0.0,0.0
129,401480770,2023-03-10 20:05:00,2023,CHC,CHW,3,4,0.0,0.0
130,401480773,2023-03-10 20:05:00,2023,KC,SD,1,0,0.0,0.0
131,401480775,2023-03-10 20:05:00,2023,OAK,TEX,12,11,0.0,0.0
133,401480772,2023-03-10 20:10:00,2023,MIL,CLE,12,3,0.0,0.0
134,401480774,2023-03-10 20:10:00,2023,COL,SF,8,1,1.0,0.0
132,401480771,2023-03-10 20:10:00,2023,SEA,CIN,11,3,0.0,0.0
137,401480766,2023-03-10 23:05:00,2023,STL,NYM,7,5,1.0,-1.0
135,401480764,2023-03-10 23:05:00,2023,WSH,MIA,2,7,1.0,2.0
136,401480765,2023-03-10 23:05:00,2023,BAL,MIN,5,5,0.0,1.0
138,401480769,2023-03-11 01:05:00,2023,CIN,ARI,6,5,-1.0,1.0
139,401480779,2023-03-11 18:05:00,2023,MIN,BOS,4,3,-1.0,0.0
140,401480780,2023-03-11 18:05:00,2023,ATL,DET,7,16,0.0,0.0
141,401480781,2023-03-11 18:05:00,2023,PIT,NYY,3,0,0.0,-1.0
142,401480783,2023-03-11 18:05:00,2023,NYY,PHI,3,6,0.0,0.0
143,401480784,2023-03-11 18:05:00,2023,HOU,STL,3,2,-1.0,-1.0
144,401480778,2023-03-11 18:07:00,2023,TOR,BAL,8,6,0.0,-1.0
145,401480787,2023-03-11 20:05:00,2023,LAD,CHC,2,5,0.0,0.0
146,401480788,2023-03-11 20:05:00,2023,TEX,CIN,8,7,0.0,-1.0
147,401480790,2023-03-11 20:05:00,2023,SF,LAD,8,13,-1.0,-1.0
148,401480791,2023-03-11 20:05:00,2023,CLE,OAK,4,2,-1.0,0.0
153,401480793,2023-03-11 20:10:00,2023,SD,CHW,6,5,0.0,0.0
151,401480789,2023-03-11 20:10:00,2023,MIL,KC,2,12,0.0,0.0
152,401480792,2023-03-11 20:10:00,2023,COL,SEA,2,4,0.0,0.0
149,401480785,2023-03-11 20:10:00,2023,MIA,TB,5,3,-1.0,0.0
150,401480786,2023-03-11 20:10:00,2023,LAA,ARI,11,10,0.0,-1.0
154,401480782,2023-03-12 00:05:00,2023,WSH,NYM,10,7,0.0,0.0
160,401480808,2023-03-12 17:05:00,2023,DET,MIN,8,7,-1.0,-1.0
155,401480794,2023-03-12 17:05:00,2023,PIT,ATL,3,11,-1.0,-1.0
156,401480795,2023-03-12 17:05:00,2023,BAL,BOS,6,4,-1.0,-1.0
157,401480796,2023-03-12 17:05:00,2023,HOU,MIA,5,1,-1.0,-1.0
158,401480797,2023-03-12 17:05:00,2023,BOS,NYY,3,3,-1.0,-1.0
159,401480799,2023-03-12 17:05:00,2023,STL,WSH,5,1,-1.0,-1.0
161,401480809,2023-03-12 17:05:00,2023,PHI,TOR,3,8,-1.0,-1.0
162,401480798,2023-03-12 17:10:00,2023,NYM,TB,4,10,-1.0,-1.0
166,401480804,2023-03-12 20:05:00,2023,CHC,MIL,3,5,0.0,-1.0
165,401480803,2023-03-12 20:05:00,2023,CIN,LAD,1,8,0.0,0.0
167,401480805,2023-03-12 20:05:00,2023,SF,OAK,4,3,0.0,-1.0
163,401480800,2023-03-12 20:05:00,2023,CHW,LAA,1,1,-1.0,-1.0
164,401480801,2023-03-12 20:05:00,2023,KC,CLE,7,6,-1.0,0.0
168,401480806,2023-03-12 20:05:00,2023,OAK,SD,8,6,0.0,-1.0
170,401480807,2023-03-12 20:10:00,2023,SEA,TEX,11,10,0.0,0.0
169,401480802,2023-03-12 20:10:00,2023,ARI,COL,10,9,0.0,0.0
171,401480810,2023-03-13 17:05:00,2023,ATL,BAL,6,5,0.0,-1.0
172,401480812,2023-03-13 17:05:00,2023,BAL,DET,11,7,0.0,0.0
173,401480813,2023-03-13 17:05:00,2023,TB,DET,9,5,-1.0,-1.0
174,401480814,2023-03-13 17:05:00,2023,WSH,HOU,7,6,0.0,0.0
175,401480815,2023-03-13 17:05:00,2023,MIN,NYY,1,0,0.0,0.0
176,401480811,2023-03-13 17:07:00,2023,TOR,BOS,16,3,0.0,0.0
177,401480816,2023-03-13 17:10:00,2023,MIA,NYM,3,9,0.0,0.0
180,401480819,2023-03-13 20:05:00,2023,CIN,MIL,0,8,0.0,0.0
178,401480817,2023-03-13 20:05:00,2023,TEX,ARI,8,11,-1.0,-1.0
179,401480818,2023-03-13 20:05:00,2023,LAD,CLE,11,4,0.0,0.0
181,401480820,2023-03-13 20:10:00,2023,COL,OAK,7,8,0.0,0.0
182,401480821,2023-03-13 20:10:00,2023,LAA,SEA,8,2,0.0,0.0
183,401480822,2023-03-13 20:10:00,2023,SD,SF,9,11,0.0,0.0
188,401480836,2023-03-14 17:05:00,2023,PHI,ATL,5,15,1.0,0.0
189,401480837,2023-03-14 17:05:00,2023,DET,BOS,6,2,0.0,-1.0
186,401480826,2023-03-14 17:05:00,2023,MIN,PIT,2,2,0.0,-1.0
185,401480825,2023-03-14 17:05:00,2023,TB,MIN,7,4,0.0,-1.0
184,401480823,2023-03-14 17:05:00,2023,PIT,BAL,6,7,1.0,0.0
187,401480827,2023-03-14 17:05:00,2023,HOU,STL,3,3,0.0,1.0
190,401480824,2023-03-14 17:10:00,2023,MIA,HOU,1,0,0.0,-1.0
191,401480829,2023-03-14 17:10:00,2023,NYM,WSH,0,5,0.0,0.0
192,401480830,2023-03-14 20:05:00,2023,CLE,LAA,6,8,0.0,-1.0
193,401480834,2023-03-14 20:05:00,2023,CHW,OAK,5,4,1.0,-1.0
194,401480833,2023-03-14 20:10:00,2023,SEA,KC,8,6,0.0,1.0
195,401480835,2023-03-14 20:10:00,2023,ARI,SF,6,7,0.0,0.0
196,401480828,2023-03-14 22:35:00,2023,NYY,TOR,10,3,0.0,0.0
197,401480831,2023-03-15 01:05:00,2023,KC,CIN,3,5,-1.0,0.0
198,401480832,2023-03-15 01:05:00,2023,CHC,COL,2,5,1.0,0.0
200,401480839,2023-03-15 17:05:00,2023,NYY,PHI,8,9,-1.0,0.0
199,401480838,2023-03-15 17:05:00,2023,ATL,HOU,3,9,0.0,-1.0
201,401480842,2023-03-15 17:05:00,2023,BOS,TB,9,1,0.0,0.0
202,401480840,2023-03-15 17:07:00,2023,TOR,PIT,7,1,-1.0,0.0
204,401480843,2023-03-15 17:10:00,2023,MIA,WSH,0,0,0.0,0.0
203,401480841,2023-03-15 17:10:00,2023,NYM,STL,1,4,0.0,0.0
205,401480844,2023-03-15 20:05:00,2023,SF,CHW,0,0,-1.0,0.0
206,401480847,2023-03-15 20:05:00,2023,TEX,KC,4,3,1.0,-1.0
207,401480849,2023-03-15 20:05:00,2023,OAK,SEA,0,0,0.0,-1.0
208,401480850,2023-03-15 20:10:00,2023,ARI,SF,0,0,0.0,-1.0
209,401480845,2023-03-16 01:05:00,2023,CIN,CHC,1,2,0.0,0.0
210,401480846,2023-03-16 01:05:00,2023,LAD,COL,0,0,1.0,0.0
211,401480848,2023-03-16 01:40:00,2023,ARI,MIL,2,0,-1.0,1.0
212,401480851,2023-03-16 01:40:00,2023,SD,CLE,0,0,1.0,0.0
213,401480852,2023-03-16 17:05:00,2023,TB,ATL,5,1,0.0,0.0
214,401480853,2023-03-16 17:05:00,2023,STL,HOU,0,3,-1.0,0.0
215,401480856,2023-03-16 17:05:00,2023,MIN,TB,0,2,1.0,-1.0
216,401480859,2023-03-16 20:05:00,2023,CHC,ARI,1,3,-1.0,-1.0
217,401480860,2023-03-16 20:05:00,2023,CLE,CHW,5,1,-1.0,0.0
218,401480861,2023-03-16 20:05:00,2023,KC,OAK,2,0,0.0,0.0
221,401480863,2023-03-16 20:10:00,2023,SEA,SF,0,0,0.0,0.0
220,401480862,2023-03-16 20:10:00,2023,COL,SD,1,7,-1.0,-1.0
219,401480858,2023-03-16 20:10:00,2023,MIL,LAA,2,3,-1.0,1.0
222,401480854,2023-03-16 22:05:00,2023,WSH,NYM,3,0,0.0,0.0
223,401480857,2023-03-16 22:05:00,2023,BAL,TOR,7,4,1.0,0.0
224,401480865,2023-03-16 22:05:00,2023,DET,PHI,1,10,1.0,0.0
225,401480855,2023-03-16 22:35:00,2023,NYY,PIT,6,9,0.0,0.0
226,401480864,2023-03-17 01:05:00,2023,LAD,TEX,1,3,0.0,0.0
227,401480866,2023-03-17 17:05:00,2023,BOS,ATL,0,8,1.0,0.0
228,401480867,2023-03-17 17:05:00,2023,MIN,BAL,3,5,0.0,-1.0
229,401480871,2023-03-17 17:05:00,2023,PIT,TB,6,2,-1.0,0.0
230,401480872,2023-03-17 17:05:00,2023,HOU,WSH,7,11,0.0,-1.0
231,401480880,2023-03-17 17:05:00,2023,DET,NYY,8,7,-1.0,-1.0
232,401480881,2023-03-17 17:05:00,2023,PHI,TOR,4,2,-1.0,-1.0
233,401480869,2023-03-17 17:07:00,2023,TOR,PHI,1,8,-1.0,-1.0
234,401480870,2023-03-17 17:10:00,2023,MIA,STL,2,16,1.0,0.0
238,401480879,2023-03-17 20:05:00,2023,OAK,SF,7,2,0.0,-1.0
237,401480878,2023-03-17 20:05:00,2023,TEX,MIL,3,4,-1.0,-1.0
236,401480877,2023-03-17 20:05:00,2023,CHC,LAD,7,9,0.0,-1.0
235,401480874,2023-03-17 20:05:00,2023,CHW,CHC,4,4,0.0,-1.0
239,401480873,2023-03-17 20:10:00,2023,COL,ARI,2,4,0.0,0.0
240,401480876,2023-03-17 20:10:00,2023,LAA,KC,12,1,0.0,0.0
241,401480868,2023-03-17 22:10:00,2023,NYM,MIA,6,1,0.0,-1.0
242,401480875,2023-03-18 01:05:00,2023,CIN,CLE,7,1,1.0,0.0
243,401480882,2023-03-18 01:40:00,2023,SD,SEA,5,10,0.0,0.0
244,401480883,2023-03-18 17:05:00,2023,BOS,BAL,9,6,0.0,0.0
245,401480884,2023-03-18 17:05:00,2023,TB,BOS,3,1,0.0,-1.0
246,401480885,2023-03-18 17:05:00,2023,STL,DET,8,4,-1.0,0.0
247,401480886,2023-03-18 17:05:00,2023,WSH,MIA,0,7,0.0,-1.0
248,401480887,2023-03-18 17:05:00,2023,PIT,MIN,7,4,0.0,0.0
249,401480888,2023-03-18 17:07:00,2023,TOR,NYY,5,2,0.0,0.0
252,401480894,2023-03-18 20:05:00,2023,KC,COL,3,6,-1.0,-1.0
253,401480895,2023-03-18 20:05:00,2023,CHW,LAD,4,6,0.0,0.0
250,401480891,2023-03-18 20:05:00,2023,SF,CHC,5,1,0.0,0.0
251,401480892,2023-03-18 20:05:00,2023,OAK,CIN,1,7,0.0,-1.0
254,401480893,2023-03-18 20:10:00,2023,ARI,CLE,6,4,0.0,-1.0
